0a000000	Stormveil Castle
0a010000	Chapel of Anticipation
0b000000	Leyndell, Royal Capital
0b050000	Leyndell, Ashen Capital
0b0a0000	Roundtable Hold
0b470000	Ending Cutscenes
0c010000	Ainsel River
0c020000	Siofra River
0c030000	Deeproot Depths
0c040000	Ainsel River - Boss
0c050000	Mohgwyn Palace
0c070000	Siofra River Bank
0c080000	Siofra River - Boss
0c090000	Nokron, Eternal City - Boss
0d000000	Crumbling Farum Azula
0e000000	Academy of Raya Lucaria
0f000000	Miquella's Haligtree
10000000	Volcano Manor
12000000	Stranded Graveyard
13000000	Stone Platform
1e000000	Tombsward Catacombs
1e010000	Impaler's Catacombs
1e020000	Stormfoot Catacombs
1e030000	Road's End Catacombs
1e040000	Murkwater Catacombs
1e050000	Black Knife Catacombs
1e060000	Cliffbottom Catacombs
1e070000	Wyndham Catacombs
1e080000	Sainted Hero's Grave
1e090000	Gelmir Hero's Grave
1e0a0000	Auriza Hero's Grave
1e0b0000	Deathtouched Catacombs
1e0c0000	Unsightly Catacombs
1e0d0000	Auriza Side Tomb
1e0e0000	Minor Erdtree Catacombs
1e0f0000	Caelid Catacombs
1e100000	War-Dead Catacombs
1e110000	Giant-Conquering Hero's Grave
1e120000	Giants' Mountaintop Catacombs
1e130000	Consecrated Snowfield Catacombs
1e140000	Hidden Path to the Haligtree
1f000000	Murkwater Cave
1f010000	Earthbore Cave
1f020000	Tombsward Cave
1f030000	Groveside Cave
1f040000	Stillwater Cave
1f050000	Lakeside Crystal Cave
1f060000	Academy Crystal Cave
1f070000	Seethewater Cave
1f090000	Volcano Cave
1f0a0000	Dragonbarrow Cave
1f0b0000	Sellia Hideaway
1f0c0000	Cave of the Forlorn
1f0f0000	Coastal Cave
1f110000	Highroad Cave
1f120000	Perfumer's Grotto
1f130000	Sage's Cave
1f140000	Abandoned Cave
1f150000	Gaol Cave
1f160000	Spiritcaller Cave
20000000	Morne Tunnel
20010000	Limgrave Tunnels
20020000	Raya Lucaria Crystal Tunnel
20040000	Old Altus Tunnel
20050000	Altus Tunnel
20070000	Gael Tunnel
20080000	Sellia Crystal Tunnel
200b0000	Yelough Anix Tunnel
220a0000	Divine Tower of Limgrave
220b0000	Divine Tower of Liurnia
220c0000	Divine Tower of West Altus
220d0000	Divine Tower of Caelid
220e0000	Divine Tower of East Altus
220f0000	Isolated Divine Tower
23000000	Subterranean Shunning-Grounds
27140000	Ruin-Strewn Precipice
3c080a02	Southwest Liurnia
3c080b02	West Liurnia
3c080c02	Northwest Liurnia
3c080d02	Far West Altus Plateau
3c090902	Far West Limgrave
3c090a02	Southeast Liurnia
3c090b02	East Liurnia
3c090c02	Liurnia to Atlus Plateau
3c090d02	West Atlus Plateau
3c0a0702	South Weeping Peninsula
3c0a0802	West Weeping Peninsula
3c0a0902	West Limgrave
3c0a0a02	Northwest Limgrave Coast
3c0a0c02	South Atlus Plateau
3c0a0d02	North Atlus Plateau
3c0b0702	Southeast Weeping Peninsula Coast
3c0b0802	East Weeping Peninsula
3c0b0902	East Limgrave
3c0b090c	East Limgrave (Meteored)
3c0b0a02	Northwest Caelid
3c0b0c02	Southeast Atlus Plateau
3c0b0d02	Northeast Atlus Plateau
3c0b0d0c	Northeast Atlus Plateau (Ashen)
3c0b0e02	West Consecrated Snowfield
3c0c0802	Far South Caelid
3c0c0902	South Caelid
3c0c0a02	North Caelid
3c0c0c02	Forbidden Lands
3c0c0d02	Southwest Mountaintops
3c0c0e02	Northwest Mountaintops
3c0d0902	Southeast Caelid
3c0d0a02	Northeast Caelid
3c0d0d02	Southeast Mountaintops
3c0d0e02	Northeast Mountaintops
3c212800	Moonlight Altar - Altar South, Chelona's Rise
3c212900	Moonlight Altar - West of Deep Ainsel Well
3c212a00	Moonlight Altar - Ringleader's Evergaol
3c212b00	Liurnia of the Lakes - Minor Erdtree, Road's End Catacombs Entrance
3c212c00	Liurnia of the Lakes - Revenger's Shack
3c212d00	Liurnia of the Lakes - Cuckoo's Evergaol, West of Meeting Place
3c212e00	Liurnia of the Lakes - Foot of the Four Belfries
3c212f00	Liurnia of the Lakes - The Four Belfries, Giant's Caravan Below
3c222900	Moonlight Altar - Deep Ainsel Well
3c222a00	Liurnia of the Lakes - Village of the Albinaurics; Moonlight Altar - Moonfolk Ruins
3c222b00	Liurnia of the Lakes - Converted Tower
3c222c00	Liurnia of the Lakes - Temple Quarter
3c222d00	Liurnia of the Lakes - Meeting Place, Academy Crystal Cave Entrance
3c222e00	Liurnia of the Lakes - Crystalline Woods, Path to the Four Belfries
3c222f00	Liurnia of the Lakes - Sorcerer's Isle West, East Belfry
3c223000	Liurnia of the Lakes - Northern Liurnia Lake Shore, Kingsrealm Ruins
3c223100	Liurnia of the Lakes - Road to the Manor
3c223200	Liurnia of the Lakes - Ranni's Rise, Seluvis's Rise
3c223300	Liurnia of the Lakes - Renna's Rise
3c232900	Moonlight Altar - Lunar Estate Ruins
3c232a00	Moonlight Altar - Cathedral of Manus Celes
3c232b00	Liurnia of the Lakes - Folly on the Lake, South Rose Church
3c232c00	Liurnia of the Lakes - Far West Gate Town, North Rose Church
3c232d00	Liurnia of the Lakes - South Raya Lucaria Gate
3c232e00	Liurnia of the Lakes - Main Academy Gate, Academy of Raya Lucaria Entrance
3c232f00	Liurnia of the Lakes - Testu's Rise, East Gate Bridge Trestle
3c233000	Liurnia of the Lakes - North of Sorcerer's Isle
3c233100	Liurnia of the Lakes - South of Caria Manor, West of Ravine Entrance
3c233200	Liurnia of the Lakes - Caria Manor
3c233300	Liurnia of the Lakes - North of Caria Manor
3c233400	Mt. Gelmir - Before Hermit Shack
3c233500	Mt. Gelmir - Seethewater Terminus
3c233600	Mt. Gelmir - Fort Laiedd
3c242900	Liurnia of the Lakes - Slumbering Wolf's Shack, Lakeside Crystal Cave Entrance
3c242a00	Liurnia of the Lakes - West of Scenic Isle
3c242b00	Liurnia of the Lakes - Boilprawn Shack, Fallen Ruins of the Lake
3c242c00	Liurnia of the Lakes - Gate Town Southwest
3c242d00	Liurnia of the Lakes - Gate Town Northwest
3c242e00	Liurnia of the Lakes - West of Church of Vows
3c242f00	Liurnia of the Lakes - West of Raya Lucaria Crystal Tunnel; Bellum Highway - South of East Raya Lucaria Gate
3c243000	Bellum Highway - East Raya Lucaria Gate
3c243100	Liurnia of the Lakes - Southeast Ravine, Lake at Caria Manor Entrance; Bellum Highway - Bellum Church
3c243200	Liurnia of the Lakes - Behind Caria Manor, Royal Grave Evergaol, Part of Ravine
3c243300	Altus Plateau - Perfumer's Ruins, Unsightly Catacombs Entrance
3c243400	Mt. Gelmir - Craftsman's Shack, Hermit's Shack
3c243500	Mt. Gelmir - Outside Volcano Manor
3c243600	Mt. Gelmir - Ninth Mt. Gelmir Campsite, Road of Iniquity, Volcano Manor Entrance
3c252900	Liurnia of the Lakes - South of Scenic Isle, East of Slumbering Wolf's Shack
3c252a00	Liurnia of the Lakes - Scenic Isle, Laskyar Ruins
3c252b00	Liurnia of the Lakes - North of Scenic Isle
3c252c00	Liurnia of the Lakes - Gate Town Southeast
3c252d00	Liurnia of the Lakes - Gate Town Northeast
3c252e00	Liurnia of the Lakes - Church of Vows
3c252f00	Liurnia of the Lakes - South of Mausoleum Compound, Raya Lucaria Crystal Tunnel Entrance
3c253000	Liurnia of the Lakes - Mausoleum Compound
3c253100	Bellum Highway - Church of Inhibition, Southwest of Grand Lift of Dectus
3c253200	Liurnia of the Lake - Northeast Ravine; Bellum Highway - West of Grand Lift of Dectus
3c253300	Altus Plateau - Abandoned Coffin, Ruin-Strewn Precipice Exit
3c253400	Mt. Gelmir - Seethewater River, Hermit Village, Wyndham Catacombs Entrance, Sage's Cave Entrance, Abductor Virgins Exit
3c253500	Mt. Gelmir - Primeval Sorcerer Azur, Gelmir Hero's Grave Entrance
3c253600	Mt. Gelmir - Minor Erdtree, Seethewater Cave Entrance
3c253700	Mt. Gelmir - Volcano Cave Entrance
3c262700	Liurnia of the Lakes - West of Church of Irith
3c262800	Liurnia of the Lakes - Liurnia Lake Shore
3c262900	Liurnia of the Lakes - Laskyar Ruins, Malefactor's Evergaol
3c262a00	Liurnia of the Lakes - Highway Lookout Tower
3c262b00	Liurnia of the Lakes - Gate Town Bridge
3c262c00	Liurnia of the Lakes - North of Gate Town Bridge
3c262d00	Liurnia of the Lakes - Artist's Shack, Eastern Liurnia Lake Shore
3c262e00	Liurnia of the Lakes - Eastern Tableland, Ainsel River Well
3c262f00	Liurnia of the Lakes - Ruined Labyrinth, Uld Palace Ruins
3c263000	Bellum Highway - Frenzied Flame Village, Minor Erdtree
3c263100	Bellum Highway - Frenzy-Flaming Tower
3c263200	Liurnia of the Lakes - Ravine-Veiled Village; Bellum Highway - Grand Lift of Dectus; Altus Plateau - Altus Plateau; Ruin-Strewn Precipice Entrance
3c263300	Altus Plateau - Erdtree-Gazing Hill, Lux Ruins
3c263400	Altus Plateau - Wyndham Ruins, Wyndham Catacombs Entrance
3c263500	Altus Plateau - Old Altus Tunnel Entrance
3c263600	Mt. Gelmir - First Mt. Gelmir Campsite, Corpse-Stench Shack; Altus Plateau - West of Shaded Castle
3c272700	Liurnia of the Lakes - Church of Irith
3c272800	Liurnia of the Lakes - Lake-Facing Cliffs, Stormveil Castle Exit, Stillwater Cave Entrance
3c272900	Liurnia of the Lakes - Liurnia Highway South, Purified Ruins, Cliffbottom Catacombs Entrance
